pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2023-10-01,82.9,-1.56,6.22,"Giolito, Lucas",595879,608337,field_out,hit_into_play,,,,,5.0,Javier Baez flies out sharply to left fielder Steven Kwan.,R,R,R,DET,CLE,X,7.0,fly_ball,2,1,2023,0.23,-0.17,-0.200031836517856,2.478331385932675,,,,2,5,Bot,85.1,65.24,,,,,2.6782018459755284,-120.77759968272676,-1.7190742005202786,1.674217855817569,24.464355889214865,-33.74238853978318,3.53,1.75,345.0,102.4,40.0,83.0,2079.0,6.4,716361,666310,647304,677588,671289,677587,680757,657656,660757,54.13,0.242,0.46625,0.0,1.0,0.0,0.0,5.0,46,4,Slider,5,2,5,2,2,5,5,2,Standard,Standard,52.0,-0.006,-0.314,78.5,8.3,0.927,0.314,102.4,3,3,0.869,0.869,28,30,29,31,3,2,5.0,2,,,3.49,-0.23,-0.23,52.1,14.931151854512338,-7.68340945724152,31.53973134530442,35.62718672106354,36.17550234368207
SL,2023-10-01,83.7,-1.53,6.17,"Giolito, Lucas",595879,608337,,swinging_strike,,,,,13.0,Swinging Strike,R,R,R,DET,CLE,S,,,2,0,2023,0.22,-0.22,-0.3144375169735282,1.1981736964126055,,,,2,5,Bot,,,,,,,2.395548742412179,-121.84010355206702,-4.585634118137312,1.6292560522933277,25.69697905716179,-33.60462554707824,3.53,1.75,,,,83.8,2088.0,6.5,716361,666310,647304,677588,671289,677587,680757,657656,660757,54.02,,,,,,,,46,3,Slider,5,2,5,2,2,5,5,2,Standard,Standard,25.0,0.0,-0.06,76.7,9.4,,0.06,,3,3,0.869,0.869,28,30,29,31,3,2,5.0,2,,,3.49,-0.22,-0.22,50.4,29.093911417271592,-33.93978561845055,37.708546360258325,34.92711395596581,51.64567721600881
CH,2023-10-01,82.0,-1.26,6.24,"Giolito, Lucas",595879,608337,,ball,,,,,14.0,Ball,R,R,R,DET,CLE,B,,,1,0,2023,-0.45,0.85,1.0898192954897985,1.7787483540856468,,,,2,5,Bot,,,,,,,6.217987866032702,-119.25250115812176,-5.22606389217729,-5.464207354381967,21.73833363934329,-23.294311687561056,3.47423303949833,1.6633277908039,,,,82.7,1479.0,6.6,716361,666310,647304,677588,671289,677587,680757,657656,660757,53.85,,,,,,,,46,2,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,226.0,0.0,0.056,,,,-0.056,,3,3,0.869,0.869,28,30,29,31,3,2,5.0,2,,,2.53,0.45,0.45,53.0,,,,,
CH,2023-10-01,82.9,-1.58,6.13,"Giolito, Lucas",595879,608337,,ball,,,,,13.0,Ball,R,R,R,DET,CLE,B,,,0,0,2023,-1.31,0.74,-0.0835295837774201,0.5932172698126768,,,,2,5,Bot,,,,,,,6.022357024495253,-120.35820675628514,-7.589590433771304,-13.876896534873064,24.59022185909024,-23.689272032674168,3.46540283026762,1.68361416639534,,,,83.2,1622.0,6.7,716361,666310,647304,677588,671289,677587,680757,657656,660757,53.78,,,,,,,,46,1,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,226.0,0.001,0.043,,,,-0.043,,3,3,0.868,0.868,28,30,29,31,3,2,5.0,2,,,2.61,1.31,1.31,50.4,,,,,
CU,2023-10-01,77.3,-1.41,6.38,"Giolito, Lucas",668731,608337,field_out,hit_into_play,,,,,8.0,Akil Baddoo pops out to third baseman Tyler Freeman in foul territory.,R,L,R,DET,CLE,X,5.0,popup,2,2,2023,0.61,-1.13,-0.219099490059866,2.215777666120413,,,,1,5,Bot,102.07,184.85,,,,,1.4291272510298292,-112.54750005471152,0.2217613786260521,4.816462715552836,22.84996012353811,-41.97847181349179,3.54,1.69,73.0,80.1,73.0,76.9,2139.0,6.3,716361,666310,647304,677588,671289,677587,680757,657656,660757,54.23,0.003,0.002,0.0,1.0,0.0,0.0,3.0,45,6,Curveball,5,2,5,2,2,5,5,2,Standard,Standard,21.0,-0.006,-0.234,68.3,8.1,0.003,0.234,88.0,3,3,0.874,0.874,28,24,29,25,3,2,5.0,1,,,4.98,-0.61,0.61,54.4,20.69898094962041,-9.83134990251868,34.18459268174118,41.66849106176657,28.757661058836423
FF,2023-10-01,93.5,-1.32,6.15,"Giolito, Lucas",668731,608337,,foul,,,,,8.0,Foul,R,L,R,DET,CLE,S,,,2,2,2023,-0.45,1.46,-0.1853375222394935,2.2220079790822274,,,,1,5,Bot,,,,,,,3.9484886852914696,-135.9437386427146,-7.604739074516401,-6.504630692370441,31.81419229169236,-12.562106911469272,3.54,1.69,245.0,81.5,31.0,93.7,2294.0,6.6,716361,666310,647304,677588,671289,677587,680757,657656,660757,53.87,,,,,,,,45,5,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,206.0,0.0,0.0,63.0,6.6,,0.0,88.0,3,3,0.874,0.874,28,24,29,25,3,2,5.0,1,,,1.16,0.45,-0.45,52.4,-10.282422601948738,25.39281418393425,35.48013857771556,40.464125761198595,2.979068864805226
FF,2023-10-01,99.5,-2.64,5.67,"Greene, Hunter",676761,668881,field_out,hit_into_play,,,,,4.0,Irving Lopez flies out to center fielder Stuart Fairchild.,R,L,R,STL,CIN,X,8.0,fly_ball,3,2,2023,-0.91,1.2,-0.5732205901538444,2.543571797546824,691023.0,668800.0,665877.0,2,5,Bot,96.88,75.25,,,,,7.843747967818546,-144.61409357732722,-6.015857617349144,-14.623468871579291,32.55690461070646,-14.146766522200451,3.179,1.474,316.0,88.6,28.0,99.9,2364.0,6.5,716353,571912,663886,669222,682622,682829,605361,656413,666181,54.0,0.068,0.082,0.0,1.0,0.0,0.0,3.0,45,8,4-Seam Fastball,4,2,4,2,2,4,4,2,Infield shade,Standard,229.0,-0.057,-0.283,61.8,6.9,0.138,0.283,88.6,2,2,0.836,0.836,23,28,24,28,3,2,5.0,2,,,1.11,0.91,-0.91,24.4,19.190005103589343,12.890262756050744,25.449034679566317,36.66584646834739,18.782065863277673
FF,2023-10-01,99.4,-2.68,5.64,"Greene, Hunter",676761,668881,,foul,,,,,2.0,Foul,R,L,R,STL,CIN,S,,,3,2,2023,-0.73,1.21,-0.1600050557150164,2.8844924043235354,691023.0,668800.0,665877.0,2,5,Bot,,,,,,,8.661570603849968,-144.52278449307678,-4.9956707280911825,-12.218888010916894,34.20829759998023,-14.19034518719532,3.179,1.474,224.0,82.2,21.0,100.0,2223.0,6.7,716353,571912,663886,669222,682622,682829,605361,656413,666181,53.79,,,,,,,,45,7,4-Seam Fastball,4,2,4,2,2,4,4,2,Infield shade,Standard,226.0,0.0,0.0,,,,0.0,88.0,2,2,0.836,0.836,23,28,24,28,3,2,5.0,2,,,1.1,0.73,-0.73,23.9,,,,,
CH,2023-10-01,81.9,-1.38,6.2,"Giolito, Lucas",668731,608337,,ball,,,,,13.0,Ball,R,L,R,DET,CLE,B,,,1,2,2023,-1.05,1.0,-0.3305052232749398,0.6563224145285731,,,,1,5,Bot,,,,,,,4.410803170455998,-119.02898641367408,-7.872522572514811,-10.859694195386467,23.77389114052195,-21.34734407195449,3.30152602567328,1.60496942554187,,,,82.1,1565.0,6.6,716361,666310,647304,677588,671289,677587,680757,657656,660757,53.93,,,,,,,,45,4,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,227.0,0.001,0.045,,,,-0.045,,3,3,0.873,0.873,28,24,29,25,3,2,5.0,1,,,2.42,1.05,-1.05,52.3,,,,,
ST,2023-10-01,81.4,2.76,5.74,"Weathers, Ryan",669261,677960,field_out,hit_into_play,,,,,13.0,Jack Suwinski flies out to right fielder Jesus Sanchez.,R,L,L,PIT,MIA,X,9.0,fly_ball,2,1,2023,-1.16,-0.16,-0.8369091788289911,2.3735419236883883,,,656582.0,2,6,Bot,178.72,101.17,,,,,-5.805668347967682,-118.45378404959811,-0.6202299182567201,-9.71856582674192,23.647060674952556,-33.777428361862995,3.55,1.62,283.0,83.0,25.0,80.6,2370.0,5.9,716362,663743,493329,669364,542932,621563,650559,641658,660821,54.63,0.203,0.199,0.0,1.0,0.0,0.0,3.0,43,4,Sweeper,0,0,0,0,0,0,0,0,Standard,Strategic,307.0,-0.038,-0.302,72.5,7.8,0.283,0.302,88.0,0,0,0.538,0.538,23,24,24,25,3,2,41.0,1,,,3.61,-1.16,-1.16,36.6,19.207441986680607,-11.051112152561888,28.766854447952916,42.538056792110254,37.94419099164756
