TaggedPitchType,AutoPitchType,PitcherThrows,Pitcher,Batter,RelSpeed,SpinRate,InducedVertBreak,HorzBreak,RelHeight,RelSide,Extension,PlateLocSide,PlateLocHeight,Inning,PAofInning,Balls,Strikes,PitchNo,PitchCall,HomeScore,AwayScore,Top/Bottom,Runner1B,Runner2B,Runner3B
Slider,Slider,Right,"Demo, RHP","Lineup, Avg",84.3,2240,2.3,-3.4,5.88,-1.83,6.36,-0.889,1.826,1,1,0,0,1,BallCalled,0,0,Top,,,
Slider,Slider,Right,"Demo, RHP","Lineup, Avg",85.6,2139,1.8,-6.1,6.08,-1.71,6.3,-1.212,2.638,1,1,1,0,2,StrikeCalled,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",89.9,2413,8.2,-2.4,5.88,-1.79,6.28,-0.035,2.856,1,1,1,1,3,StrikeSwinging,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",89.0,2213,8.4,-1.8,6.14,-1.77,6.24,0.405,1.956,1,1,1,2,4,FoulBall,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",90.4,2377,7.3,-0.5,6.03,-1.75,6.15,-0.329,2.554,1,1,1,2,5,StrikeSwinging,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",90.8,2033,8.4,-2.4,5.96,-1.8,6.49,0.545,1.821,1,2,0,0,6,StrikeSwinging,0,0,Top,,,
Changeup,Changeup,Right,"Demo, RHP","Lineup, Avg",83.9,1955,6.4,13.1,6.05,-1.81,6.21,0.038,2.214,1,2,0,1,7,BallCalled,0,0,Top,,,
Changeup,Changeup,Right,"Demo, RHP","Lineup, Avg",84.2,2060,8.3,12.8,5.8,-1.8,6.16,0.727,1.834,1,2,1,1,8,StrikeCalled,0,0,Top,,,
Slider,Slider,Right,"Demo, RHP","Lineup, Avg",86.1,2295,-0.6,-6.5,6.04,-1.76,6.2,-0.766,2.195,1,2,1,2,9,BallCalled,0,0,Top,,,
Cutter,Cutter,Right,"Demo, RHP","Lineup, Avg",89.4,2127,9.6,-2.2,5.92,-1.79,6.09,-0.119,2.15,1,3,0,0,10,BallCalled,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",93.3,2203,17.5,9.6,5.89,-1.82,6.43,-0.376,2.48,1,3,1,0,11,StrikeSwinging,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",93.0,2193,17.1,11.5,6.01,-1.78,6.21,0.011,2.065,1,3,1,1,12,StrikeCalled,0,0,Top,,,
Fastball,Fastball,Right,"Demo, RHP","Lineup, Avg",91.6,2107,17.7,9.3,5.98,-1.86,6.21,0.644,3.218,1,3,1,2,13,InPlay,0,0,Top,,,
