hitter,p_swing,p_contact,p_hard_contact,p_hard,alpha,xwoba_per_pitch
"Kurtz, Nick",0.1729,0.5096,0.2973,0.0252,0.048,0.006
"Kurtz, Nick",0.1629,0.7932,0.169,0.0229,0.0178,0.016
"Kurtz, Nick",0.8497,0.8363,0.5923,0.419,0.0414,0.146
"Kurtz, Nick",0.8467,0.8641,0.4975,0.3646,0.0103,0.146
"Kurtz, Nick",0.9038,0.9021,0.5708,0.4654,0.0067,0.177
"Kurtz, Nick",0.3236,0.7146,0.2711,0.0635,0.0251,0.098
"Kurtz, Nick",0.8078,0.7383,0.5697,0.3401,0.0065,0.192
"Kurtz, Nick",0.8297,0.5393,0.1542,0.0692,0.0003,0.099
"Kurtz, Nick",0.8081,0.8554,0.3728,0.2618,0.0238,0.119
"Kurtz, Nick",0.4253,0.8727,0.5929,0.2197,0.0328,0.167
"Kurtz, Nick",0.5999,0.8712,0.6515,0.3401,0.0322,0.147
"Kurtz, Nick",0.6888,0.8979,0.6938,0.4302,0.0336,0.177
"Kurtz, Nick",0.8767,0.8188,0.5889,0.4228,0.0183,0.114
"Kurtz, Nick",0.4394,0.8758,0.6235,0.2399,0.033,0.167
"Kurtz, Nick",0.801,0.818,0.4901,0.3219,0.0238,0.177
"Kurtz, Nick",0.9345,0.9078,0.5679,0.4817,0.0,0.22
"Kurtz, Nick",0.6014,0.8053,0.3464,0.168,0.0502,0.098
"Kurtz, Nick",0.3162,0.7119,0.1033,0.0232,0.0217,0.092
"Kurtz, Nick",0.5441,0.3722,0.3474,0.0702,0.0039,0.099
"Kurtz, Nick",0.1393,0.3993,0.0896,0.0056,0.0132,0.146
"Kurtz, Nick",0.3383,0.179,0.1827,0.0111,0.0,0.114
"Kurtz, Nick",0.6726,0.7949,0.6264,0.3347,0.0236,0.125
"Kurtz, Nick",0.8115,0.8172,0.539,0.3574,0.0091,0.167
"Kurtz, Nick",0.9108,0.8629,0.6585,0.5175,0.0186,0.167
"Kurtz, Nick",0.8284,0.8549,0.3536,0.2499,0.015,0.114
"Kurtz, Nick",0.3876,0.9005,0.6933,0.2416,0.0679,0.167
"Kurtz, Nick",0.4168,0.1823,0.0862,0.007,0.0084,0.101
"Kurtz, Nick",0.4023,0.8077,0.4828,0.1568,0.0586,0.114
"Kurtz, Nick",0.472,0.2693,0.1205,0.0154,0.0013,0.114
"Kurtz, Nick",0.8472,0.6611,0.5986,0.3354,0.0426,0.124
"Kurtz, Nick",0.2901,0.8436,0.4414,0.1084,0.0483,0.114
"Kurtz, Nick",0.757,0.8574,0.5337,0.3471,0.0248,0.192
"Kurtz, Nick",0.8774,0.7752,0.5972,0.4061,0.0026,0.207
"Kurtz, Nick",0.8872,0.902,0.5969,0.4833,0.0101,0.207
"Kurtz, Nick",0.3617,0.7423,0.5002,0.1351,0.0539,0.124
"Kurtz, Nick",0.7818,0.8859,0.6979,0.485,0.0199,0.177
"Kurtz, Nick",0.8742,0.839,0.5174,0.378,0.0098,0.205
"Kurtz, Nick",0.84,0.5972,0.2024,0.1015,0.0,0.114
"Kurtz, Nick",0.8767,0.7439,0.5279,0.3462,0.1258,0.098
"Kurtz, Nick",0.4607,0.8849,0.5691,0.2319,0.038,0.162
"Kurtz, Nick",0.8596,0.8547,0.6117,0.4515,0.0297,0.177
"Kurtz, Nick",0.9412,0.8978,0.6796,0.5747,0.008,0.205
"Kurtz, Nick",0.414,0.8759,0.6417,0.2323,0.0593,0.147
"Kurtz, Nick",0.5529,0.8599,0.4781,0.2268,0.0229,0.146
"Kurtz, Nick",0.8758,0.79,0.5684,0.3931,0.0012,0.192
"Kurtz, Nick",0.3902,0.5672,0.2023,0.0448,0.0005,0.101
"Kurtz, Nick",0.8405,0.8623,0.5313,0.3864,0.0108,0.177
"Kurtz, Nick",0.4164,0.7399,0.4378,0.1348,0.0005,0.14
"Kurtz, Nick",0.7601,0.9063,0.49,0.338,0.0079,0.177
"Kurtz, Nick",0.2988,0.7863,0.3355,0.0801,0.0381,0.083
"Domínguez, Jasson",0.328,0.5755,0.3901,0.0766,0.044,0.029
"Domínguez, Jasson",0.2386,0.8283,0.1536,0.0302,0.0021,0.035
"Domínguez, Jasson",0.8458,0.8683,0.6212,0.456,0.0253,0.146
"Domínguez, Jasson",0.9014,0.8889,0.5067,0.4074,0.0116,0.147
"Domínguez, Jasson",0.9424,0.9264,0.5634,0.4918,0.007,0.192
"Domínguez, Jasson",0.4155,0.7979,0.3062,0.1002,0.043,0.098
"Domínguez, Jasson",0.8777,0.842,0.5615,0.4153,0.0112,0.207
"Domínguez, Jasson",0.9011,0.6694,0.1518,0.0912,0.0139,0.114
"Domínguez, Jasson",0.9337,0.8767,0.4055,0.332,0.0158,0.124
"Domínguez, Jasson",0.5509,0.9031,0.6104,0.302,0.0543,0.155
"Domínguez, Jasson",0.7145,0.921,0.6504,0.4301,0.0389,0.146
"Domínguez, Jasson",0.7433,0.9216,0.7036,0.4834,0.0411,0.168
"Domínguez, Jasson",0.9248,0.8421,0.5911,0.4647,0.0198,0.099
"Domínguez, Jasson",0.5613,0.9093,0.6379,0.3233,0.0582,0.155
"Domínguez, Jasson",0.8888,0.8442,0.5391,0.4041,0.0088,0.172
"Domínguez, Jasson",0.9662,0.9317,0.599,0.5399,0.0066,0.207
"Domínguez, Jasson",0.7322,0.8421,0.3891,0.2391,0.0686,0.092
"Domínguez, Jasson",0.3984,0.7658,0.1537,0.0468,0.0351,0.083
"Domínguez, Jasson",0.7489,0.5238,0.3505,0.1375,0.0111,0.114
"Domínguez, Jasson",0.2039,0.4792,0.0879,0.0084,0.0065,0.146
"Domínguez, Jasson",0.5291,0.3217,0.2501,0.0437,0.0181,0.114
"Domínguez, Jasson",0.7929,0.8221,0.6587,0.4296,0.0442,0.119
"Domínguez, Jasson",0.8381,0.8561,0.5941,0.4263,0.0206,0.15
"Domínguez, Jasson",0.8999,0.8868,0.6658,0.5315,0.0174,0.155
"Domínguez, Jasson",0.8439,0.8604,0.3585,0.2579,0.0149,0.092
